@relation Name00100

@attribute Channel1-Element1 numeric
@attribute Channel1-Element2 numeric
@attribute Channel1-Element3 numeric
@attribute Channel1-Element4 numeric
@attribute Channel1-Element5 numeric
@attribute Channel1-Element6 numeric
@attribute Channel1-Element7 numeric
@attribute Channel1-Element8 numeric
@attribute Channel1-Element9 numeric
@attribute Channel1-Element10 numeric
@attribute Channel1-Element11 numeric
@attribute Channel2-Element1 numeric
@attribute Channel2-Element2 numeric
@attribute Channel2-Element3 numeric
@attribute Channel2-Element4 numeric
@attribute Channel2-Element5 numeric
@attribute Channel2-Element6 numeric
@attribute Channel2-Element7 numeric
@attribute Channel2-Element8 numeric
@attribute Channel2-Element9 numeric
@attribute Channel2-Element10 numeric
@attribute Channel2-Element11 numeric
@attribute Channel3-Element1 numeric
@attribute Channel3-Element2 numeric
@attribute Channel3-Element3 numeric
@attribute Channel3-Element4 numeric
@attribute Channel3-Element5 numeric
@attribute Channel3-Element6 numeric
@attribute Channel3-Element7 numeric
@attribute Channel3-Element8 numeric
@attribute Channel3-Element9 numeric
@attribute Channel3-Element10 numeric
@attribute Channel3-Element11 numeric
@attribute Channel4-Element1 numeric
@attribute Channel4-Element2 numeric
@attribute Channel4-Element3 numeric
@attribute Channel4-Element4 numeric
@attribute Channel4-Element5 numeric
@attribute Channel4-Element6 numeric
@attribute Channel4-Element7 numeric
@attribute Channel4-Element8 numeric
@attribute Channel4-Element9 numeric
@attribute Channel4-Element10 numeric
@attribute Channel4-Element11 numeric
@attribute Class numeric

@data
5,6,10,178,31,9,7,7,8,11,12,4,5,8,140,27,8,7,9,13,9,5,6,7,11,172,35,10,7,7,8,9,9,4,5,8,133,29,9,7,7,8,7,6,2
7,9,14,758,32,11,8,8,10,12,12,8,9,16,368,36,14,11,10,10,9,9,7,8,13,202,33,11,8,8,10,13,12,7,8,13,1161,27,9,7,6,6,7,7,2
8,10,15,229,44,12,8,7,7,8,9,6,7,11,208,36,11,8,8,9,10,10,6,7,12,220,37,11,8,8,10,11,10,5,6,10,156,33,9,7,7,8,9,8,2
10,11,19,279,44,14,10,8,7,6,5,6,7,12,274,32,10,8,8,9,11,11,5,6,10,152,26,9,7,7,9,11,11,5,6,10,322,28,9,8,9,12,11,7,2
10,11,18,259,53,14,9,7,7,7,7,8,9,15,213,43,11,7,7,7,9,11,7,8,13,231,40,11,8,7,8,10,11,5,5,9,152,31,10,9,12,17,10,6,2
9,10,17,249,43,15,11,9,8,7,7,9,10,17,223,38,12,8,8,10,13,10,8,9,15,318,35,12,9,8,8,8,8,5,6,10,215,28,10,8,11,16,11,6,2
6,7,11,182,39,12,10,10,9,8,7,8,9,14,213,45,13,9,9,10,11,10,7,8,13,198,41,11,8,7,7,8,8,6,7,11,176,37,11,8,9,12,13,8,2
9,10,16,563,34,12,8,7,7,7,8,7,8,13,323,35,11,9,9,11,11,9,9,10,16,272,35,11,8,7,7,8,9,7,7,12,172,29,9,7,7,11,14,9,2
8,10,15,238,41,10,6,5,5,5,7,8,9,14,219,46,13,10,9,10,9,8,6,7,12,209,41,12,9,9,8,7,6,7,7,12,178,34,9,6,6,8,13,10,2
8,10,16,756,35,12,9,8,8,8,8,8,9,16,887,35,12,9,8,8,8,8,7,8,14,205,36,13,10,9,8,7,6,6,7,11,194,27,8,6,6,8,11,9,2
8,9,15,268,43,12,8,8,8,10,11,6,7,12,182,38,11,8,8,8,8,7,7,8,13,215,45,14,10,9,8,7,6,5,6,9,144,31,9,7,7,9,11,9,2
6,7,12,188,32,11,8,8,9,10,9,8,9,15,427,35,10,6,6,6,7,8,9,10,17,466,39,14,10,8,7,6,6,6,7,13,212,30,10,8,7,8,10,11,2
7,9,14,215,47,13,10,9,10,11,11,8,8,13,182,38,9,6,5,5,5,7,8,9,15,223,43,11,7,6,6,7,8,6,7,11,179,39,11,9,9,10,11,11,2
9,10,18,728,39,14,10,9,9,8,8,8,9,15,240,32,10,6,5,5,5,6,9,10,15,469,39,10,7,6,6,7,11,7,8,13,185,31,11,8,8,9,11,12,2
10,11,18,244,53,13,8,7,7,7,8,5,6,10,166,34,10,7,7,7,7,6,7,7,11,166,31,8,5,4,4,6,12,6,7,12,206,39,11,8,8,9,10,10,2
12,14,23,519,43,14,9,7,7,7,8,5,5,9,149,23,8,6,7,8,8,7,5,6,9,440,26,7,5,4,5,6,11,6,7,12,175,30,10,7,7,8,10,9,2
11,12,17,220,40,9,5,4,4,5,6,7,8,13,211,39,11,8,7,7,7,7,5,5,9,149,28,8,6,5,6,6,6,8,9,14,233,42,11,7,6,7,8,10,2
7,8,12,222,29,9,6,5,6,8,9,7,8,14,912,35,10,7,6,6,8,11,6,7,12,313,28,10,7,6,6,5,5,7,9,14,200,34,11,8,8,9,11,11,2
4,5,8,134,26,7,5,5,6,8,10,8,9,14,201,42,11,7,6,6,6,9,6,7,12,193,41,12,9,8,6,5,5,8,9,14,236,44,12,8,7,7,8,9,2
3,4,7,275,19,6,4,4,6,9,11,7,8,13,761,36,11,8,7,7,8,9,7,8,13,189,33,11,8,7,7,6,7,6,7,13,248,36,12,10,9,8,6,6,2
4,4,7,114,23,6,4,4,5,7,10,5,5,9,144,31,9,7,8,9,10,9,7,8,13,190,41,11,7,7,7,8,9,5,6,10,176,33,10,8,9,9,7,6,2
5,6,10,144,25,8,6,6,8,10,10,5,5,9,170,25,9,8,10,13,10,7,9,10,17,218,36,11,7,6,6,7,9,8,10,16,615,35,13,9,9,9,9,9,2
5,6,10,149,31,9,7,7,9,9,8,5,6,10,161,33,10,9,10,13,10,7,8,9,14,190,40,10,7,6,6,7,10,7,7,12,196,41,12,10,10,11,11,9,2
6,7,11,170,27,9,7,7,9,10,8,6,6,11,312,30,10,8,10,15,13,7,6,7,12,1122,34,11,8,7,7,7,6,6,7,12,438,33,11,8,9,11,12,9,2
4,5,8,146,27,8,6,7,12,14,8,5,6,10,192,32,10,8,8,11,12,8,6,7,11,209,37,12,9,9,8,6,5,5,6,10,175,36,11,9,9,10,9,7,2
4,4,7,171,20,6,5,6,8,12,8,6,7,12,243,29,10,8,8,10,10,8,4,5,9,148,24,8,7,8,9,8,6,5,6,11,174,29,10,8,9,10,9,7,2
5,5,9,137,28,8,6,6,8,13,12,5,6,10,160,34,10,8,9,12,13,9,6,7,12,211,35,10,7,6,7,9,9,5,6,9,151,33,10,8,9,10,8,6,2
6,7,12,217,27,9,6,6,7,10,13,4,5,8,547,24,7,6,6,7,10,10,7,8,14,275,30,10,7,7,7,8,9,8,9,15,982,31,10,7,6,7,8,10,2
7,7,11,159,33,8,5,4,5,7,12,5,6,10,161,34,10,7,7,9,10,9,7,8,12,181,36,9,6,5,5,7,8,6,6,10,163,33,9,7,7,8,11,10,2
9,10,16,1019,28,8,5,5,5,7,12,7,8,13,177,30,10,7,6,7,8,9,7,8,14,354,36,11,8,8,8,9,7,7,8,13,552,27,9,6,6,7,9,11,2
7,8,12,189,35,9,6,5,5,7,9,6,7,11,176,37,11,8,7,7,7,6,5,6,10,156,33,10,8,8,9,8,6,4,5,8,120,24,7,5,5,7,10,10,2
8,9,15,320,33,11,7,6,6,7,8,6,7,12,175,30,10,8,7,7,7,7,6,6,11,233,27,10,8,8,9,8,6,6,7,11,571,26,9,7,6,7,7,6,2
5,6,10,162,33,9,7,6,6,6,6,4,5,9,139,29,9,7,8,9,8,6,6,7,11,173,37,11,8,8,8,8,7,4,5,8,139,28,9,7,7,7,5,4,2
6,7,12,627,28,10,8,7,7,6,6,5,6,10,188,31,9,7,8,10,10,7,7,8,13,188,32,11,8,7,7,7,7,4,4,8,120,21,8,6,8,10,9,6,2
4,4,7,115,24,7,5,5,7,8,8,5,6,10,162,32,10,7,8,9,9,7,7,8,12,186,40,11,8,7,7,7,6,3,4,7,116,23,7,6,7,9,9,7,2
4,5,9,134,22,7,6,6,6,8,8,6,7,12,211,29,10,8,7,8,9,7,7,8,14,207,35,11,8,8,8,9,8,4,5,8,124,22,8,6,7,8,9,8,2
5,6,9,143,30,8,6,6,7,8,8,5,6,9,153,32,10,8,9,9,7,5,6,6,11,183,35,11,9,9,11,10,8,4,5,8,125,27,7,5,5,6,8,10,2
5,6,11,149,25,8,6,5,6,8,8,6,6,11,223,24,8,5,4,4,5,6,6,7,13,338,32,12,11,13,12,8,6,6,6,10,141,23,7,4,4,4,4,6,2
5,6,10,151,33,9,6,6,7,9,9,5,6,9,144,28,8,5,5,5,6,7,4,5,9,141,30,10,9,12,15,10,6,5,6,10,148,31,8,5,5,5,5,6,2
6,7,11,272,29,9,7,6,7,8,9,6,7,12,240,27,9,7,6,7,9,9,5,5,10,176,26,10,10,15,14,7,5,6,7,11,397,28,8,5,4,4,5,6,0
6,7,11,181,35,10,7,6,7,9,9,6,7,11,165,35,9,6,6,6,8,10,4,4,7,124,26,8,7,10,12,8,6,8,8,13,181,36,9,6,5,4,5,7,0
6,7,12,326,30,9,6,6,6,8,10,6,7,12,193,32,11,8,8,9,8,7,5,6,10,246,26,10,9,11,11,7,5,8,9,14,200,31,9,6,5,5,6,9,0
6,7,11,166,35,9,6,5,6,7,9,5,6,11,171,36,11,9,10,11,8,6,4,4,7,121,27,8,8,10,10,6,4,7,8,13,186,38,10,7,6,6,7,9,0
5,6,9,146,22,7,4,4,4,5,8,4,5,8,393,25,8,7,8,9,7,5,3,4,7,399,20,6,4,4,4,4,4,5,6,10,226,27,9,7,6,7,8,8,0
5,5,9,138,27,7,5,5,5,7,10,4,5,8,128,27,8,7,8,10,8,6,5,5,9,137,29,8,6,6,5,5,5,4,5,8,132,28,8,6,6,6,7,8,0
5,6,10,267,22,7,5,5,5,7,9,5,6,10,306,27,9,7,7,8,9,8,5,5,9,159,23,8,6,6,6,6,5,4,5,9,204,23,7,5,5,6,7,6,0
5,6,9,141,30,8,6,5,6,7,9,5,6,10,164,33,9,7,6,6,6,6,4,5,8,126,27,8,6,6,7,6,5,5,5,9,148,29,8,6,6,6,6,5,0
5,6,9,141,23,7,5,5,5,6,8,7,8,14,189,32,10,7,6,5,6,6,5,6,11,244,26,10,8,9,9,6,5,5,6,9,161,24,8,6,6,6,6,5,1
6,6,11,160,34,9,6,5,6,6,7,7,8,13,230,37,10,6,5,4,4,5,5,6,9,135,29,8,6,6,9,14,9,6,6,11,172,34,10,7,7,8,7,6,1
5,6,10,208,28,9,7,7,7,7,7,6,6,11,255,30,10,7,7,7,6,5,7,8,14,431,30,10,8,8,10,12,9,5,6,10,289,29,10,9,10,9,6,5,1
5,6,10,151,31,9,7,6,7,7,7,6,7,11,187,36,11,8,7,7,6,5,6,6,11,167,34,10,7,7,10,13,11,6,7,11,180,37,11,8,7,7,7,7,1
6,7,12,240,31,10,7,6,6,7,7,4,5,9,309,26,8,6,6,6,6,5,8,9,16,617,34,13,10,10,11,11,10,6,7,12,556,34,11,9,8,8,7,7,1
7,8,14,212,43,12,8,6,6,5,6,5,5,9,143,29,8,6,6,6,6,5,5,6,10,202,32,9,6,6,6,7,7,6,7,12,187,39,11,9,8,8,8,7,1
7,8,14,189,32,10,7,6,5,5,5,4,4,8,114,20,7,5,5,7,7,5,4,5,9,129,22,8,6,6,6,6,6,6,7,12,1034,35,11,9,9,8,7,5,1
5,6,10,161,32,10,7,8,8,8,6,4,5,8,127,27,7,5,6,7,9,7,4,5,8,133,29,8,6,6,6,6,6,5,6,10,169,32,10,9,10,10,7,5,1
5,6,10,167,25,9,7,7,8,8,7,4,5,9,140,21,7,6,6,9,13,8,5,6,9,137,23,7,5,5,5,6,7,6,6,11,161,28,10,7,8,8,7,6,1
4,4,7,115,24,7,5,5,6,8,8,5,6,9,140,29,8,6,6,9,13,9,5,6,10,145,30,8,5,4,4,5,5,4,5,8,129,27,8,6,7,10,11,8,1
4,5,8,157,21,6,5,5,6,8,11,5,5,9,206,24,8,6,7,10,13,8,6,6,11,168,29,10,8,7,8,8,7,5,6,10,249,24,9,7,7,10,11,8,1
5,6,9,144,29,8,5,5,5,6,7,4,5,8,130,26,8,6,8,15,16,7,6,7,12,198,37,11,9,9,10,10,8,4,4,7,117,26,8,7,8,13,12,7,1
7,8,13,248,30,10,7,6,6,6,8,5,6,10,147,26,9,8,9,13,12,8,8,9,15,298,35,12,9,9,9,9,8,4,4,7,113,20,7,7,11,18,9,5,1
4,5,8,143,27,8,6,6,6,6,6,6,6,11,170,35,10,8,9,12,13,9,6,7,12,189,39,12,10,10,12,11,8,3,4,6,114,22,7,7,11,15,8,5,1
4,4,7,679,21,7,5,5,6,7,7,8,9,15,289,34,12,9,8,9,10,9,6,7,12,177,30,10,8,8,9,10,9,4,5,8,173,23,8,8,12,14,7,4,1
5,6,10,150,32,9,7,7,8,8,7,7,8,13,211,41,12,9,8,9,8,8,5,6,9,155,30,9,6,6,8,10,8,6,6,11,173,37,11,9,9,11,9,8,1
8,9,15,476,32,11,8,8,7,7,5,6,7,11,211,30,10,8,9,10,8,6,5,6,10,137,23,7,5,5,6,8,11,6,7,12,171,29,10,7,7,9,11,12,1
9,10,15,273,44,12,8,7,7,7,8,6,7,11,174,38,11,8,8,9,10,9,6,7,11,177,31,8,6,5,6,8,10,5,5,9,149,30,9,7,7,9,10,10,1
8,9,15,352,40,13,9,8,8,8,8,7,8,13,314,31,11,8,8,8,8,7,7,7,12,199,28,9,7,6,7,10,9,6,7,12,1058,28,10,8,9,10,11,11,1
8,9,14,233,45,13,9,8,9,10,10,4,5,8,132,27,8,6,7,8,9,8,6,6,11,165,35,10,8,8,9,10,8,3,4,7,110,24,7,6,8,13,11,7,1
6,7,12,175,30,10,8,8,10,12,12,5,6,10,158,26,9,7,7,8,10,9,7,8,14,816,32,12,10,10,10,9,8,2,2,4,151,13,5,4,6,12,9,4,1
5,6,10,162,32,9,7,8,10,12,11,6,7,12,188,37,10,7,6,6,7,8,4,5,8,140,29,9,8,10,12,9,7,3,4,7,109,23,7,5,6,8,9,7,1
4,5,8,140,26,7,6,6,8,12,13,7,7,12,348,33,10,7,6,6,6,6,4,5,9,180,24,8,7,7,8,8,7,4,4,7,319,20,6,5,5,6,7,8,1
6,6,10,151,32,9,6,5,6,8,9,7,8,13,188,40,10,7,5,5,6,7,4,5,8,128,28,8,6,7,7,6,5,7,8,12,181,36,9,6,5,5,5,7,1
5,6,9,270,26,9,7,7,9,10,8,7,8,13,210,33,11,8,8,8,8,8,4,4,7,110,19,7,5,6,8,7,6,6,7,11,698,32,10,7,7,7,8,8,1
5,6,9,155,33,10,8,9,10,9,6,4,5,9,154,29,9,7,9,13,14,10,4,4,7,125,24,7,6,6,7,7,6,6,7,12,175,37,10,7,7,7,8,8,1
4,4,8,212,21,7,6,7,10,13,9,6,7,11,170,30,11,9,10,12,11,9,6,6,11,575,25,9,7,6,6,7,7,5,6,10,168,27,9,7,7,7,6,5,1
4,4,8,135,25,7,6,7,9,11,9,4,5,9,140,29,8,7,7,9,11,11,4,5,9,144,29,9,7,7,8,8,7,5,6,9,142,29,8,5,5,5,5,5,1
4,5,8,147,22,7,5,5,7,10,12,5,6,10,170,27,9,7,7,8,10,11,4,5,8,268,27,9,7,8,9,8,7,6,7,11,1243,29,8,6,5,6,7,8,1
5,6,10,156,34,10,7,7,9,11,10,5,6,10,160,33,9,7,6,6,6,6,5,5,9,148,29,8,6,6,7,8,7,6,7,11,158,32,8,5,4,5,7,10,1
6,6,11,737,29,9,6,6,7,9,10,5,6,10,170,28,10,8,8,8,7,7,9,10,17,355,38,13,9,8,8,7,7,6,7,12,178,28,9,7,6,7,8,10,1
5,6,10,157,34,10,7,7,8,9,8,5,6,10,161,32,10,7,8,9,11,10,6,7,12,213,39,12,9,8,8,7,6,5,6,10,172,32,9,7,6,7,7,8,1
6,7,12,193,30,10,7,7,7,8,8,7,8,13,321,30,10,8,8,9,12,12,7,8,13,277,40,12,9,8,7,7,6,6,7,12,366,30,11,8,7,6,6,6,1
5,6,10,160,33,9,6,6,7,8,9,7,8,12,205,36,10,7,7,9,13,15,7,8,13,210,43,12,9,9,9,9,8,5,5,9,149,29,9,6,6,8,8,7,1
5,6,10,644,29,9,7,7,9,12,13,7,8,13,178,30,9,7,6,8,11,12,8,9,14,231,35,11,8,7,7,7,7,4,4,8,293,22,7,6,6,7,7,6,1
5,6,10,171,31,9,7,7,9,14,16,5,6,10,156,31,9,7,6,7,8,8,7,8,13,207,44,13,10,10,11,10,7,5,6,10,163,32,9,7,7,7,7,6,1
4,5,8,218,23,7,5,5,7,14,15,5,5,9,130,22,7,5,4,5,6,8,4,5,8,181,24,8,7,8,12,12,7,6,6,11,153,26,8,6,5,5,6,7,1
6,7,11,170,35,10,7,7,9,12,14,5,6,9,142,31,8,6,5,6,7,8,4,5,9,147,28,8,7,8,14,11,6,6,7,11,178,39,11,8,8,8,8,8,1
6,7,12,175,30,11,8,8,8,7,6,7,8,13,266,29,10,7,6,7,8,8,3,4,7,390,20,6,5,6,10,16,9,9,10,17,471,34,12,8,7,7,7,8,1
6,6,11,174,36,11,8,7,6,5,4,6,7,12,182,37,10,7,7,7,8,8,6,7,11,165,34,9,6,6,6,8,11,8,9,15,223,44,12,8,7,7,9,10,1
6,7,12,191,30,11,9,9,9,7,6,7,8,13,236,34,11,8,7,7,7,7,7,8,14,193,33,11,7,7,7,8,9,8,10,16,471,40,12,8,7,7,8,9,1
4,4,7,119,24,7,5,6,7,8,7,5,6,10,162,34,10,7,7,7,7,7,6,7,12,184,37,10,8,7,8,10,12,7,8,14,210,40,11,7,6,7,8,9,1
3,3,6,127,16,5,4,5,7,8,6,5,6,9,152,25,8,7,7,8,8,7,5,6,11,161,27,10,8,9,11,12,10,7,8,13,247,33,10,7,6,6,7,8,1
5,5,9,144,30,8,6,6,8,9,8,5,5,9,140,27,7,5,4,5,6,8,4,4,7,125,25,8,6,8,12,13,9,6,7,11,173,32,8,6,5,5,5,6,1
6,7,12,267,27,9,6,6,6,6,6,5,6,10,175,24,7,5,4,5,5,7,3,4,7,107,18,6,5,6,10,17,14,10,11,18,676,33,10,7,5,5,5,6,1
6,6,10,149,32,8,6,5,5,6,6,7,7,12,173,32,8,5,4,4,4,5,4,4,7,119,23,7,5,6,8,12,12,6,7,11,174,37,10,7,7,6,6,6,1
9,10,16,870,31,10,7,5,5,6,7,5,6,11,343,30,9,7,6,5,4,4,4,5,8,119,20,7,5,6,9,13,10,8,9,15,279,34,11,8,6,6,6,6,1
6,7,11,192,34,10,7,6,6,7,7,5,6,11,191,36,11,9,8,7,5,4,5,6,9,143,28,8,5,5,6,10,15,7,8,12,204,38,11,7,6,6,6,7,1
7,8,14,307,31,10,7,6,6,7,7,6,6,11,1231,32,11,8,9,8,6,4,5,6,10,138,23,7,5,5,5,7,9,6,7,12,359,32,10,7,6,6,7,7,0
9,10,16,211,45,11,7,6,6,8,9,5,6,10,159,33,10,8,8,7,6,4,6,7,11,164,35,10,7,7,8,11,14,5,6,10,168,35,10,8,8,9,8,7,0
13,14,22,620,38,12,7,6,6,8,9,6,6,11,294,30,10,8,7,7,6,4,5,5,9,830,26,8,6,6,8,13,15,6,7,11,169,30,10,8,9,10,10,8,0
9,10,16,207,42,10,6,5,5,7,8,5,5,9,144,29,8,6,7,8,7,5,5,6,10,161,31,9,6,6,8,12,15,5,5,9,162,30,9,8,9,11,10,7,0
8,9,15,208,34,11,7,6,6,7,8,4,4,7,128,19,7,5,6,9,7,4,5,6,10,276,25,8,5,5,7,12,16,7,8,13,473,31,11,9,8,8,7,7,0
6,7,12,177,36,10,7,6,6,6,7,5,6,9,145,31,9,7,7,9,8,6,5,6,10,155,33,9,6,5,6,8,10,6,6,10,154,33,9,6,5,6,6,6,0
7,8,14,197,34,11,7,6,6,6,7,5,5,9,158,24,8,6,7,8,7,5,6,7,12,222,31,10,8,7,7,7,6,6,7,11,159,27,8,5,5,5,5,5,0
8,9,15,227,44,12,8,6,6,6,8,6,7,11,168,36,10,7,6,6,6,6,5,6,11,173,37,12,9,9,7,5,4,6,7,11,152,32,8,5,4,4,4,5,0
6,7,12,360,33,10,7,7,7,8,8,6,7,11,194,29,9,7,7,10,11,8,6,7,13,193,34,13,11,12,11,9,8,5,5,9,176,23,7,5,4,5,5,6,1
6,7,12,181,39,11,8,7,6,6,7,5,6,9,148,31,9,7,7,9,11,8,6,7,12,189,41,13,11,12,11,9,7,5,6,9,143,29,8,5,4,4,5,6,1
7,8,14,455,30,10,7,6,6,6,6,7,8,13,327,29,10,8,8,10,12,10,7,8,14,282,35,13,10,10,10,10,8,6,7,11,160,27,8,6,5,5,6,7,1
5,6,10,153,32,9,7,6,7,7,6,6,7,11,161,35,9,7,7,8,11,13,7,8,13,194,43,12,9,9,9,9,8,5,6,10,156,35,10,8,7,7,6,5,1
6,7,12,200,30,10,7,7,7,7,6,5,5,9,220,24,8,6,6,7,9,9,6,7,12,184,31,10,8,8,8,7,6,5,6,10,163,27,10,9,9,9,7,5,1
7,8,13,189,41,12,8,7,7,7,6,4,5,8,131,25,7,5,5,6,8,10,5,5,9,146,31,9,7,7,8,7,5,4,5,8,129,28,9,8,10,10,7,5,1
6,7,12,1120,34,11,8,8,8,6,5,4,5,8,429,24,7,5,5,5,6,8,6,7,13,820,30,11,9,9,8,7,6,6,7,13,238,31,11,9,9,9,8,6,1
5,6,10,161,34,10,8,8,7,5,4,5,6,10,149,31,8,6,5,6,7,8,4,5,8,141,27,8,6,6,7,7,6,6,7,11,170,34,9,6,6,6,7,7,1
6,6,11,181,31,11,9,9,7,5,4,6,7,11,204,26,9,6,6,6,8,10,5,6,10,155,25,8,6,7,8,8,8,6,7,12,167,29,9,6,6,6,7,7,1
6,6,11,178,36,11,9,8,8,6,5,5,6,9,147,28,7,5,5,5,7,11,6,7,11,166,36,10,8,8,9,9,8,6,7,12,188,41,12,9,9,10,9,7,1
7,8,13,340,36,11,8,8,7,7,7,6,7,12,234,26,9,7,7,8,9,8,5,6,10,162,26,9,7,7,8,9,8,5,6,10,342,32,11,9,11,11,7,5,1
5,6,10,154,34,11,9,12,15,11,7,5,6,10,154,33,9,6,6,7,9,9,5,6,10,154,34,10,8,9,10,11,9,5,6,11,191,37,12,11,13,11,7,5,1
5,6,10,269,28,9,8,10,14,13,8,7,8,14,433,29,10,7,6,7,9,11,7,8,13,1099,30,11,9,8,8,8,8,5,6,10,191,29,10,9,11,10,8,6,1
5,5,9,150,30,9,8,9,15,13,8,6,7,12,190,40,12,9,9,11,13,13,5,6,9,149,32,9,7,8,9,10,9,6,7,11,171,37,10,7,7,7,7,7,1
5,5,9,138,24,8,6,7,10,12,8,9,10,17,785,36,13,10,9,10,12,12,7,8,14,270,33,12,9,9,10,11,9,5,6,10,157,26,9,7,7,7,7,7,1
5,6,10,146,32,9,6,6,8,11,10,6,7,12,176,37,11,8,8,10,14,12,7,8,14,217,44,13,9,8,8,8,8,5,6,11,174,35,10,8,7,7,8,9,1
6,6,11,169,26,9,7,7,9,11,9,5,6,10,271,28,9,7,8,13,16,9,7,8,13,183,31,10,7,7,8,9,8,7,8,13,217,31,10,7,6,7,8,9,1
5,5,9,153,30,9,7,8,10,12,10,5,5,9,139,30,9,7,7,8,9,9,7,8,13,198,40,11,7,7,8,10,11,7,7,12,170,35,9,6,5,5,7,9,1
8,9,15,479,34,13,10,10,11,11,10,6,6,11,161,28,10,7,7,8,8,9,5,6,10,145,25,8,6,6,7,10,10,6,7,11,582,31,9,6,6,6,7,8,1
5,6,10,158,33,10,8,8,9,9,8,4,5,9,154,29,9,7,8,10,10,8,5,5,9,135,27,7,5,5,6,10,10,6,7,11,165,35,10,7,6,7,7,7,1
6,7,12,275,29,11,9,9,9,9,7,5,6,9,497,27,8,6,6,7,8,9,6,7,11,164,27,8,6,5,6,8,11,5,6,11,176,29,11,9,10,8,6,5,1
5,6,9,156,34,10,8,8,8,7,6,5,6,10,153,33,9,7,6,7,7,7,5,5,9,140,28,8,6,5,6,7,8,5,6,10,182,33,10,7,7,8,8,8,1
4,5,8,427,24,8,6,7,8,7,7,7,8,13,184,31,10,7,6,7,8,8,6,6,11,165,25,8,6,5,6,7,8,6,7,12,187,30,10,8,7,8,8,8,1
4,5,9,133,28,8,6,6,6,7,8,5,6,10,158,33,10,7,8,9,9,8,5,6,10,162,32,9,7,6,7,8,9,5,6,11,188,36,11,8,8,7,7,6,1
6,7,12,310,25,8,5,4,4,5,7,6,7,11,166,29,10,8,8,9,9,9,5,6,10,159,26,9,7,7,8,8,8,7,8,13,206,31,11,8,7,6,6,7,1
5,6,10,162,34,9,6,6,6,7,8,5,6,10,167,34,10,8,8,10,10,8,5,6,10,158,33,10,8,9,9,8,6,5,6,10,164,33,10,7,7,7,7,7,1
5,5,9,211,23,7,5,5,5,7,9,4,5,8,153,27,8,7,8,10,9,6,4,5,8,1626,25,9,8,9,10,7,5,7,9,15,420,35,13,10,9,8,7,6,1
4,5,8,129,28,8,5,5,6,9,10,5,6,10,170,34,10,8,9,10,9,7,4,5,8,137,27,8,7,7,8,8,6,6,6,11,193,39,13,12,14,11,7,6,1
5,5,9,164,28,8,6,6,8,9,8,7,8,13,302,30,11,8,8,8,8,7,4,4,7,269,21,7,5,5,6,7,7,5,6,11,210,31,12,11,14,12,7,5,1
5,6,10,162,32,9,7,7,8,10,9,7,7,12,185,39,11,8,7,8,9,9,4,5,8,125,26,7,6,6,7,7,7,6,7,12,206,39,12,10,12,12,8,6,1
5,6,10,146,24,8,6,6,7,9,10,6,7,12,944,33,10,7,6,6,7,8,4,5,9,164,25,9,7,8,8,7,6,6,7,11,568,33,11,8,8,9,10,9,1
6,7,11,171,36,9,6,6,6,8,10,6,7,12,205,38,12,9,9,9,10,10,4,4,8,128,26,8,6,7,9,7,5,5,6,9,138,29,8,5,5,5,7,10,1
8,9,15,766,27,8,5,5,5,7,12,8,9,15,483,35,13,10,9,9,9,10,4,5,9,134,22,8,6,6,7,7,5,7,8,13,309,28,9,6,5,5,6,8,1
4,5,9,141,31,9,7,8,8,7,5,6,7,11,186,39,12,10,11,12,10,8,5,6,10,151,32,9,6,6,6,6,5,5,6,9,147,30,8,6,5,5,6,7,1
8,9,16,680,36,14,10,9,8,7,6,5,6,10,173,26,9,7,7,10,12,10,5,5,9,174,24,7,5,5,5,5,5,6,7,12,730,28,10,8,7,6,5,4,1
5,6,10,184,36,12,10,11,10,7,6,5,5,9,153,30,9,7,7,9,10,8,6,6,11,162,34,9,7,6,6,6,6,5,5,9,160,31,10,8,8,8,6,5,1
6,7,12,189,31,11,9,8,8,7,6,5,6,11,224,25,9,7,7,8,8,7,5,6,10,142,23,8,5,5,5,6,7,6,8,13,1053,30,11,8,8,7,7,6,1
7,8,12,185,40,11,7,6,6,6,6,4,5,9,135,29,8,6,6,5,5,5,5,5,9,131,28,8,5,5,5,6,7,5,6,9,148,32,9,7,7,7,7,7,1
8,9,15,984,34,13,9,8,7,6,5,5,5,9,177,24,8,5,5,5,5,5,5,5,9,206,25,8,6,7,9,9,8,5,6,9,188,25,8,7,7,9,8,6,1
5,6,9,154,33,10,9,9,8,6,4,4,4,7,118,24,7,6,6,6,5,4,4,5,8,130,27,8,7,8,11,9,5,5,6,10,164,31,9,7,7,8,9,7,1
5,6,11,185,28,10,7,8,9,9,8,5,5,9,202,25,8,6,6,7,7,7,6,7,12,758,27,10,9,10,13,11,8,9,10,16,318,36,12,9,8,8,8,6,1
5,5,9,147,30,9,6,6,7,8,8,5,6,10,161,34,10,8,8,8,8,8,6,7,12,233,39,12,10,10,11,10,8,8,9,15,242,46,13,9,7,6,5,5,1
5,6,10,230,27,8,6,6,7,11,11,8,10,16,669,34,12,8,7,7,6,6,7,9,14,214,35,12,9,9,10,11,10,7,8,14,276,37,12,9,8,7,6,5,1
